author,community
Michael Bostock,9
Vadim Ogievetsky,9
Jeffrey Heer,9
B. Johnson,1
B. Shneiderman,1
A. Inselberg,2
B. Dimsdale,2
M. Duchaineau,3
M. Wolinsky,3
D.E. Sigeti,3
M.C. Miller,3
C. Aldrich,3
M.B. Mineev-Weinstein,3
J. Kruger,4
R. Westermann,4
M. Pauly,5
M. Gross,5
L.P. Kobbelt,5
M. Alexa,5
J. Behr,5
D. Cohen-Or,5
S. Fleishman,5
D. Levin,5
C.T. Silva,5
Ji Soo Yi,6
Youn ah Kang,6
John Stasko,7
Edward Segel,9
J. Heer,8
D. Boyd,8
Fernanda B. Viegas,9
Martin Wattenberg,9
Frank van Ham,9
Jesse Kriss,9
Matt McKeon,9
C. Stolte,9
P. Hanrahan,9
G.M. Nielson,10
B. Hamann,3
Alexander Lex,11
Nils Gehlenborg,11
Hendrik Strobelt,11
Romain Vuillemot,12
Hanspeter Pfister,11
R. Amar,13
J. Eagan,13
J. Stasko,13
Carsten Gorg,7
Zhicheng Liu,7
Kanupriya Singhal,7
M. Garland,14
P.S. Heckbert,14
Michael Sedlmair,15
Miriah Meyer,11
Tamara Munzner,16
E. Zhang,13
J.A. Wise,17
J.J. Thomas,17
K. Pennock,17
D. Lantrip,17
M. Pottier,17
A. Schur,17
V. Crow,17
Ying-Huey Fua,18
M.O. Ward,18
E.A. Rundensteiner,18
G. Kindlmann,3
R. Whitaker,3
T. Tasdizen,3
T. Moller,20
George Robertson,15
Nathalie Henry,16
Jean-Daniel Fekete,12
Michael J. McGuffin,16
Nivan Ferreira,60
Jorge Poco,22
Huy T. Vo,60
Juliana Freire,60
Cláudio T. Silva,60
C.L. Bajaj,3
V. Pascucci,3
D.R. Schikore,3
J. Kniss,3
C. Hansen,3
Matthew Brehmer,16
Lee Byron,9
R. Raskar,3
M.S. Brown,3
Ruigang Yang,3
Wei-Chao Chen,3
G. Welch,3
H. Towles,3
B. Scales,3
H. Fuchs,3
C. Plaisant,2
J. Grosjean,2
B.B. Bederson,23
Niklas Elmqvist,24
Pierre Dragicevic,12
S.K. Card,1
J. Mackinlay,1
Jonathan Feinberg,9
P. Lindstrom,2
J.C. Xia,5
A. Varshney,5
M. Ghoniem,2
J.-D. Fekete,2
P. Castagliola,2
D. Ebert,3
P. Rheingans,20
G. Turk,13
M. Weber,5
W. Muller,5
Jock Mackinlay,9
Pat Hanrahan,9
Chris Stolte,9
Michelle A. Borkin,11
Azalea A. Vo,11
Zoya Bylinskii,11
Phillip Isola,11
Shashank Sunkavalli,11
Aude Oliva,11
J.J. Van Wijk,25
E.R. Van Selow,25
Zachary Pousman,7
Michael Mateas,7
Ben Shneiderman,6
Aleks Aris,6
S. Parker,3
P. Shirley,3
Y. Livnat,3
P.-P. Sloan,3
H. Van de Wetering,25
Roland Fernandez,15
Danyel Fisher,15
Bongshin Lee,15
Weiwei Cui,26
Shixia Liu,26
Li Tan,26
Conglei Shi,26
Yangqiu Song,26
Zekai Gao,26
Huamin Qu,26
Xin Tong,26
S.R. Marschner,27
R.J. Lobb,27
Marco Tarini,28
Paolo Cignoni,28
Claudio Montani,28
Fernanda B. Viégas,9
E. LaMar,3
K.I. Joy,3
Geoffrey Ellis,22
Alan Dix,22
R.S. Avila,5
L.M. Sobierajski,5
Doantam Phan,9
Ling Xiao,9
R. Yeh,9
Maneesh Agrawala,9
J. LeBlanc,18
N. Wittels,18
S. Wehrend,29
C. Lewis,29
Ka-Ping Yee,1
D. Fisher,1
R. Dhamija,1
M. Hearst,1
Sean Kandel,9
Andreas Paepcke,9
Joseph M. Hellerstein,9
Jean-daniel Fekete,16
Hong Zhou,26
Pak Chung Wong,13
Xiaoming Li,26
L. Bavoil,5
S.P. Callahan,5
P.J. Crossno,5
J. Freire,5
C.E. Scheidegger,5
H.T. Vo,5
U. Clarenz,25
U. Diewald,25
M. Rumpf,25
F. Evans,5
S. Skiena,5
T. Kapler,30
W. Wright,30
Alan M. MacEachren,20
Anuj Jaiswal,20
Anthony C. Robinson,20
Scott Pezanowski,20
Alexander Savelyev,20
Prasenjit Mitra,20
Xiao Zhang,20
Justine Blanford,20
A.R. Rao,31
G.L. Lohse,31
D.A. Keim,32
H.-P. Kriegel,32
M. Ankerst,32
M. Wattenberg,1
Jessica Hullman,9
Nick Diakopoulos,9
Christopher Collins,12
Gerald Penn,12
Sheelagh Carpendale,12
James Abello,33
Frank Van Ham,33
Neeraj Krishnan,33
M. Tory,20
W.J. Schroeder,19
K.M. Martin,19
W.E. Lorensen,19
S. Berchtold,32
Taosong He,5
Lichan Hong,5
A. Kaufman,5
H. Pfister,5
Zuchao Wang,35
Min Lu,35
Xiaoru Yuan,35
Junping Zhang,22
Huub van de Wetering,22
Arvind Satyanarayan,9
Dominik Moritz,9
Kanit Wongsuphasawat,9
D. Weinstein,3
E. Lundberg,3
P. Hoffman,2
G. Grinstein,2
K. Marx,2
I. Grosse,2
E. Stanley,2
S. Havre,13
B. Hetzler,13
L. Nowell,13
H. Hauser,3
F. Ledermann,3
H. Doleisch,3
S. Guthe,36
M. Wand,36
J. Gonser,36
W. Strasser,36
Anushka Anand,9
Bill Howe,9
Wei Peng,18
Ed Huai-Hsin Chi,37
J.T. Riedl,37
David Gotz,26
Michelle X. Zhou,24
D.F. Jerding,2
J.T. Stasko,2
P. Burchard,3
S. Osher,3
Adam Perer,6
Mengchen Liu,26
Jiaxin Shi,26
Zhen Li,26
Chongxuan Li,26
Jun Zhu,35
Christian Tominski,11
Heidrun Schumann,11
Gennady Andrienko,22
Natalia Andrienko,22
Junghoon Chae,24
Dennis Thom,15
Harald Bosch,15
Yun Jang,24
Ross Maciejewski,24
David S. Ebert,24
Thomas Ertl,15
Peter Lindstrom,38
Martin Isenburg,38
C. Montani,39
R. Scateni,39
R. Scopigno,39
D. Koller,2
W. Ribarsky,2
L.F. Hodges,2
N. Faust,2
G. Turner,2
A. Boltman,23
M. Zockler,40
D. Stalling,40
H.-C. Hege,40
Wesley Willett,12
