author,num
Michael Bostock,0
Vadim Ogievetsky,1
Jeffrey Heer,2
B. Johnson,3
B. Shneiderman,4
A. Inselberg,5
B. Dimsdale,6
M. Duchaineau,7
M. Wolinsky,8
D.E. Sigeti,9
M.C. Miller,10
C. Aldrich,11
M.B. Mineev-Weinstein,12
J. Kruger,13
R. Westermann,14
M. Pauly,15
M. Gross,16
L.P. Kobbelt,17
M. Alexa,18
J. Behr,19
D. Cohen-Or,20
S. Fleishman,21
D. Levin,22
C.T. Silva,23
Ji Soo Yi,24
Youn ah Kang,25
John Stasko,26
Edward Segel,27
J. Heer,28
D. Boyd,29
Fernanda B. Viegas,30
Martin Wattenberg,31
Frank van Ham,32
Jesse Kriss,33
Matt McKeon,34
C. Stolte,35
P. Hanrahan,36
G.M. Nielson,37
B. Hamann,38
Alexander Lex,39
Nils Gehlenborg,40
Hendrik Strobelt,41
Romain Vuillemot,42
Hanspeter Pfister,43
R. Amar,44
J. Eagan,45
J. Stasko,46
Carsten Gorg,47
Zhicheng Liu,48
Kanupriya Singhal,49
M. Garland,50
P.S. Heckbert,51
Michael Sedlmair,52
Miriah Meyer,53
Tamara Munzner,54
E. Zhang,55
J.A. Wise,56
J.J. Thomas,57
K. Pennock,58
D. Lantrip,59
M. Pottier,60
A. Schur,61
V. Crow,62
Ying-Huey Fua,63
M.O. Ward,64
E.A. Rundensteiner,65
G. Kindlmann,66
R. Whitaker,67
T. Tasdizen,68
T. Moller,69
George Robertson,70
Nathalie Henry,71
Jean-Daniel Fekete,72
Michael J. McGuffin,73
Nivan Ferreira,74
Jorge Poco,75
Huy T. Vo,76
Juliana Freire,77
Cláudio T. Silva,78
C.L. Bajaj,79
V. Pascucci,80
D.R. Schikore,81
J. Kniss,82
C. Hansen,83
Matthew Brehmer,84
Lee Byron,85
R. Raskar,86
M.S. Brown,87
Ruigang Yang,88
Wei-Chao Chen,89
G. Welch,90
H. Towles,91
B. Scales,92
H. Fuchs,93
C. Plaisant,94
J. Grosjean,95
B.B. Bederson,96
Niklas Elmqvist,97
Pierre Dragicevic,98
S.K. Card,99
J. Mackinlay,100
Jonathan Feinberg,101
P. Lindstrom,102
J.C. Xia,103
A. Varshney,104
M. Ghoniem,105
J.-D. Fekete,106
P. Castagliola,107
D. Ebert,108
P. Rheingans,109
G. Turk,110
M. Weber,111
W. Muller,112
Jock Mackinlay,113
Pat Hanrahan,114
Chris Stolte,115
Michelle A. Borkin,116
Azalea A. Vo,117
Zoya Bylinskii,118
Phillip Isola,119
Shashank Sunkavalli,120
Aude Oliva,121
J.J. Van Wijk,122
E.R. Van Selow,123
Zachary Pousman,124
Michael Mateas,125
Ben Shneiderman,126
Aleks Aris,127
S. Parker,128
P. Shirley,129
Y. Livnat,130
P.-P. Sloan,131
H. Van de Wetering,132
Roland Fernandez,133
Danyel Fisher,134
Bongshin Lee,135
Weiwei Cui,136
Shixia Liu,137
Li Tan,138
Conglei Shi,139
Yangqiu Song,140
Zekai Gao,141
Huamin Qu,142
Xin Tong,143
S.R. Marschner,144
R.J. Lobb,145
Marco Tarini,146
Paolo Cignoni,147
Claudio Montani,148
Fernanda B. Viégas,149
E. LaMar,150
K.I. Joy,151
Geoffrey Ellis,152
Alan Dix,153
R.S. Avila,154
L.M. Sobierajski,155
Doantam Phan,156
Ling Xiao,157
R. Yeh,158
Maneesh Agrawala,159
J. LeBlanc,160
N. Wittels,161
S. Wehrend,162
C. Lewis,163
Ka-Ping Yee,164
D. Fisher,165
R. Dhamija,166
M. Hearst,167
Sean Kandel,168
Andreas Paepcke,169
Joseph M. Hellerstein,170
Jean-daniel Fekete,171
Hong Zhou,172
Pak Chung Wong,173
Xiaoming Li,174
L. Bavoil,175
S.P. Callahan,176
P.J. Crossno,177
J. Freire,178
C.E. Scheidegger,179
H.T. Vo,180
U. Clarenz,181
U. Diewald,182
M. Rumpf,183
F. Evans,184
S. Skiena,185
T. Kapler,186
W. Wright,187
Alan M. MacEachren,188
Anuj Jaiswal,189
Anthony C. Robinson,190
Scott Pezanowski,191
Alexander Savelyev,192
Prasenjit Mitra,193
Xiao Zhang,194
Justine Blanford,195
A.R. Rao,196
G.L. Lohse,197
D.A. Keim,198
H.-P. Kriegel,199
M. Ankerst,200
M. Wattenberg,201
Jessica Hullman,202
Nick Diakopoulos,203
Christopher Collins,204
Gerald Penn,205
Sheelagh Carpendale,206
James Abello,207
Frank Van Ham,208
Neeraj Krishnan,209
M. Tory,210
W.J. Schroeder,211
K.M. Martin,212
W.E. Lorensen,213
S. Berchtold,214
Taosong He,215
Lichan Hong,216
A. Kaufman,217
H. Pfister,218
Zuchao Wang,219
Min Lu,220
Xiaoru Yuan,221
Junping Zhang,222
Huub van de Wetering,223
Arvind Satyanarayan,224
Dominik Moritz,225
Kanit Wongsuphasawat,226
D. Weinstein,227
E. Lundberg,228
P. Hoffman,229
G. Grinstein,230
K. Marx,231
I. Grosse,232
E. Stanley,233
S. Havre,234
B. Hetzler,235
L. Nowell,236
H. Hauser,237
F. Ledermann,238
H. Doleisch,239
S. Guthe,240
M. Wand,241
J. Gonser,242
W. Strasser,243
Anushka Anand,244
Bill Howe,245
Wei Peng,246
Ed Huai-Hsin Chi,247
J.T. Riedl,248
David Gotz,249
Michelle X. Zhou,250
D.F. Jerding,251
J.T. Stasko,252
P. Burchard,253
S. Osher,254
Adam Perer,255
Mengchen Liu,256
Jiaxin Shi,257
Zhen Li,258
Chongxuan Li,259
Jun Zhu,260
Christian Tominski,261
Heidrun Schumann,262
Gennady Andrienko,263
Natalia Andrienko,264
Junghoon Chae,265
Dennis Thom,266
Harald Bosch,267
Yun Jang,268
Ross Maciejewski,269
David S. Ebert,270
Thomas Ertl,271
Peter Lindstrom,272
Martin Isenburg,273
C. Montani,274
R. Scateni,275
R. Scopigno,276
D. Koller,277
W. Ribarsky,278
L.F. Hodges,279
N. Faust,280
G. Turner,281
A. Boltman,282
M. Zockler,283
D. Stalling,284
H.-C. Hege,285
Wesley Willett,286
C. Ahlberg,287
E. Wistrand,288
D. Auber,289
Y. Chiricota,290
F. Jourdan,291
G. Melancon,292
H.-W. Shen,293
L.-J. Chiang,294
K.-L. Ma,295
Matej Novotny,296
Helwig Hauser,297
Sebastian Gehrmann,298
Alexander M. Rush,299
O. Sorkine,300
R. Goldenthal,301
D. Lischinski,302
Waqas Javed,303
Bryan McDonnel,304
Nicholas Diakopoulos,305
Mor Naaman,306
Funda Kivran-Swaine,307
D. Gotz,308
J. Hensley,309
Dominik Sacha,310
Andreas Stoffel,311
Florian Stoffel,312
Bum Chul Kwon,313
Daniel A. Keim,314
Tobias Isenberg,315
Petra Isenberg,316
Jian Chen,317
Torsten Möller,318
Megan Monroe,319
Rongjian Lan,320
Hanseung Lee,321
Catherine Plaisant,322
Jaegul Choo,323
Changhyun Lee,324
Chandan K. Reddy,325
Haesun Park,326
Salvatore Rinzivillo,327
Mirco Nanni,328
Dino Pedreschi,329
Fosca Giannotti,330
Enrico Bertini,331
Andrada Tatu,332
Daniel Keim,333
R.J. Hendley,334
N.S. Drew,335
A.M. Wood,336
R. Beale,337
U.D. Bordoloi,338
S. Bryson,339
C. Levit,340
O. Deussen,341
C. Colditz,342
M. Stamminger,343
G. Drettakis,344
L.D. Bergman,345
B.E. Rogowitz,346
L.A. Treinish,347
Jo Wood,348
Jason Dykes,349
Aidan Slingsby,350
Keith Clarke,351
S. Bruckner,352
M.E. Groller,353
Han-Wei Shen,354
C.D. Hansen,355
C.R. Johnson,356
H. Carr,357
J. Snoeyink,358
M. van de Panne,359
Marian Dörk,360
Daniel Gruen,361
Carey Williamson,362
R. Shekhar,363
E. Fayyad,364
R. Yagel,365
J.F. Cornhill,366
H. Childs,367
E. Brugger,368
K. Bonnell,369
J. Meredith,370
M. Miller,371
B. Whitlock,372
N. Max,373
R.M. Kirby,374
H. Marmanis,375
D.H. Laidlaw,376
I. Viola,377
A. Kanitsar,378
Nathalie Henry Riche,379
Amy K. Karlson,380
Sheelash Carpendale,381
U. Brandes,382
S.R. Corman,383
Jibonananda Sanyal,384
Song Zhang,385
Jamie Dyer,386
Andrew Mercer,387
Philip Amburn,388
Robert Moorhead,389
Samuel Gratzl,390
Marc Streit,391
M. Hadwiger,392
C. Berger,393
M. Weiler,394
M. Kraus,395
M. Merz,396
T. Ertl,397
G. Humphreys,398
R. Klein,399
G. Liebich,400
D. Fleischmann,401
R. Wegenkittl,402
P. Felkel,403
E. Groller,404
S. Rottger,405
M. Isenburg,406
M. Cox,407
D. Ellsworth,408
Robert E. Roth,409
James O'Brien,410
Bonan Li,411
Derek Swingley,412
Mark Gahegan,413
Han Chen,414
R. Sukthankar,415
G. Wallace,416
Kai Li,417
Daniel Smilkov,418
James Wexler,419
Jimbo Wilson,420
Dandelion Mané,421
Doug Fritz,422
Dilip Krishnan,423
F. van Ham,424
J.J. van Wijk,425
M.J. McGuffin,426
L. Tancau,427
R. Balakrishnan,428
Carlos Correa,429
Kwan-Liu Ma,430
Michael Burch,431
Daniel Weiskopf,432
A.R. Martin,433
P. Whitney,434
J. Thomas,435
A. Buja,436
J.A. McDonald,437
J. Michalak,438
W. Stuetzle,439
V. Verma,440
D. Kao,441
A. Pang,442
Ivan Viola,443
Miquel Feixas,444
Mateu Sbert,445
Meister Eduard Groller,446
Lars Grammel,447
Melanie Tory,448
Margaret-Anne Storey,449
Chaomei Chen,450
S. Morris,451
W.C. de Leeuw,452
Wei Li,453
K. Mueller,454
Lauro Lins,455
James T. Klosowski,456
Carlos Scheidegger,457
Attila Gyulassy,458
Peer-Timo Bremer,459
Bernd Hamann,460
Valerio Pascucci,461
Krist Wongsuphasawat,462
Minsuk Kahng,463
Pierre Y. Andrews,464
Aditya Kalro,465
Duen Horng (Polo) Chau,466
M.H. Gross,467
R. Gatti,468
O. Staadt,469
P. Cignoni,470
F. Ganovelli,471
E. Gobbetti,472
F. Marton,473
F. Ponchio,474
V. Interrante,475
C. Grosch,476
Milos Krstajic,477
Jing Yang,478
A. Globus,479
T. Lasinski,480
Z.J. Wood,481
M. Desbrun,482
P. Schroder,483
D. Breen,484
H. Theisel,485
T. Weinkauf,486
H.-P. Seidel,487
Jens Kruger,488
Jens Schneider,489
Rudiger Westermann,490
Yingcai Wu,491
Furu Wei,492
Norman Au,493
A. Hubeli,494
M. Balzer,495
T.A. Keahey,496
E.L. Robertson,497
Yehuda Koren,498
L. Carmel,499
D. Harel,500
Sung-Eui Yoon,501
B. Salomon,502
R. Gayle,503
D. Manocha,504
E.T. Ahrens,505
D. Kremers,506
M.J. Avalos,507
R.E. Jacobs,508
C. Readhead,509
Chaoli Wang,510
Hongfeng Yu,511
U. Tiede,512
T. Schiemann,513
K.H. Hohne,514
Fan-Yin Tzeng,515
E.B. Lum,516
Nancy Nersessian,517
Leishi Zhang,518
Michael Behrisch,519
Sebastian Mittelstadt,520
Tobias Schreck,521
René Pompl,522
Stefan Weber,523
Holger Last,524
A. Telea,525
S. Takahashi,526
I. Fujishiro,527
Y. Takeshima,528
T. Nishita,529
A.O. Artero,530
M.C.F. de Oliveira,531
H. Levkowitz,532
Christoph Garth,533
Florian Gerhardt,534
Xavier Tricoche,535
Hagen Hans,536
R. Peikert,537
M. Roth,538
E. Shaffer,539
N. Wong,540
S. Carpendale,541
S. Greenberg,542
D. Laney,543
P.-t. Bremer,544
A. Mascarenhas,545
P. Miller,546
B. Moberts,547
A. Vilanova,548
R. Kosara,549
S. Miksch,550
E. Gansner,551
Y. Koren,552
S. North,553
L. Wilkinson,554
A. Anand,555
R. Grossman,556
Ying Tu,557
D. Tang,558
Corinna Vehlow,559
Fabian Beck,560
Stephan Diehl,561
Enxun Wei,562
Yang Liu,563
Z. Shi,564
Peihong Guo,565
He Xiao,566
J. Carriere,567
R. Kazman,568
Y.-J. Chiang,569
J. Schneider,570
E. Kleiberg,571
H. van de Wetering,572
J. Johansson,573
P. Ljung,574
M. Jern,575
M. Cooper,576
Filip Sadlo,577
